날짜,도시,시간,활동 및 장소,예상 비용(EUR),숙소 상태,비고 및 링크
4/14 (화),Bologna,18:40,🍴 저녁: Osteria dell'Orsa,35,,가성비 최상 로컬 맛집
4/14 (화),Bologna,21:00,🌙 볼로냐 포르티코 야간 투어,0,,세계 최대의 회랑
4/15 (수),Bologna,10:00,🏫 볼로냐 대학 아르키긴나시오,5,볼로냐 2박 (연박),유럽 최초의 대학
4/15 (수),Bologna,12:30,🍴 점심: Tortellini in Brodo,35,,볼로냐식 고기만두 수프
4/15 (수),Bologna,15:00,🛍️ Quadrilatero 미식 시장 투어,20,,식재료 쇼핑
4/15 (수),Bologna,18:30,🍴 저녁: 볼로냐식 고기 요리,45,,이탈리아 마지막 성찬
4/16 (목),Paris,07:30,🔑 [체크아웃] 볼로냐 퇴실,0,파리 1박 (입실),
4/16 (목),Paris,08:30,🚆 열차 대륙 횡단 (밀라노 환승),145,,이탈리아 -> 프랑스
4/16 (목),Paris,16:45,🚆 파리 리옹 역 도착,2,,
4/16 (목),Paris,17:30,🏠 [체크인] The People Marais,80,,마레 지구 신축 호스텔
4/16 (목),Paris,19:00,🍴 저녁: Bouillon Julien,35,,아르누보 건축 미식
4/16 (목),Paris,21:00,🌙 마레 지구 야간 산책,0,,
4/17 (금),Paris,10:00,🎨 오르세 미술관 관람,16,파리 2박 (연박),인상주의 회화
4/17 (금),Paris,13:00,🍴 점심: 루브르 주변 비스트로,35,,
4/17 (금),Paris,15:30,☕ Angelina 티타임 (몽블랑),30,,파리 최고 디저트 명가
4/17 (금),Paris,18:40,🍴 저녁: 마레 지구 힙한 와인바,45,,
4/18 (토),Paris,10:00,⛪ 몽마르트르 언덕 & 샤크레쾨르,0,파리 3박 (연박),파리 전경 감상
4/18 (토),Paris,12:30,🍴 점심: 몽마르트르 로컬 크레페,20,,
4/18 (토),Paris,15:00,🏢 갤러리아 라파예트 옥상 전망,0,,오페라 하우스 뷰
4/18 (토),Paris,18:30,🍴 저녁: 파리 정통 스테이크 하우스,55,,
4/19 (일),Paris,10:30,🛍️ 라 그랑드 에피스리 (버터 미션),60,파리 4박 (연박),🧈 보르디예 버터 구매
4/19 (일),Paris,13:00,🍴 점심: 백화점 인근 로컬 푸드,35,,
4/19 (일),Paris,15:00,🚶 파리 시내 자유 시간,0,,쇼핑 및 휴식
4/19 (일),Paris,18:30,🍴 저녁: 에펠탑 앞 샴페인 피크닉,50,,최고급 마트 안주
4/19 (일),Paris,21:30,🛌 최종 짐 정리,0,,버터 보랭 포장 점검
4/20 (월),Paris Departure,09:30,🔑 [체크아웃] 파리 퇴실 및 짐보관,0,기내 1박,
4/20 (월),Paris Departure,12:15,🍴 점심: Frenchie (미슐랭 런치),95,,여정의 대미 (예약 필수)
4/20 (월),Paris Departure,15:00,🛍️ 시티파마 마지막 약국 쇼핑,0,,
4/20 (월),Paris Departure,16:30,🚆 CDG 공항 이동 (RER B),12,,
4/20 (월),Paris Departure,18:00,🛫 공항 체크인 및 택스 리펀,0,,서류 미리 준비
4/20 (월),Paris Departure,20:30,✈️ CDG 파리 출발 (AF264),0,,인천행
4/21 (화),Incheon,15:40,🇰🇷 인천공항 도착 및 해산,0,귀가,
